B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.556325 360.000000 0.556066
__settings__ 1 0 0 0 11 11 0 0 0 0
0 -1.61998e-006
0.36 -0.00355217
0.72 -0.00709117
1.08 -0.0106173
1.44 -0.0138316
1.8 -0.0172913
2.16 -0.0208344
2.52 -0.0243827
2.88 -0.0279354
3.24 -0.0314916
3.6 -0.0350503
3.96 -0.0386106
4.32 -0.04188
4.68 -0.0451077
5.04 -0.048651
5.4 -0.0521921
5.76 -0.0557308
6.12 -0.0592668
6.48 -0.0627998
6.84 -0.0663297
7.2 -0.0697912
7.56 -0.0731192
7.92 -0.0765858
8.28 -0.0800511
8.64 -0.0835144
9 -0.0869751
9.36 -0.0904325
9.72 -0.0938859
10.08 -0.0973347
10.44 -0.100748
10.8 -0.104168
11.16 -0.10759
11.52 -0.111014
11.88 -0.11444
12.24 -0.117869
12.6 -0.121299
12.96 -0.124733
13.32 -0.128169
13.68 -0.131607
14.04 -0.135049
14.4 -0.138493
14.76 -0.141746
15.12 -0.144897
15.48 -0.148228
15.84 -0.151588
16.2 -0.154979
16.56 -0.158401
16.92 -0.161853
17.28 -0.165335
17.64 -0.168848
18 -0.172134
18.36 -0.1753
18.72 -0.178486
19.08 -0.181692
19.44 -0.184925
19.8 -0.188217
20.16 -0.191515
20.52 -0.194817
20.88 -0.198123
21.24 -0.201434
21.6 -0.204748
21.96 -0.208065
22.32 -0.211385
22.68 -0.214699
23.04 -0.217709
23.4 -0.220733
23.76 -0.223889
24.12 -0.227129
24.48 -0.230379
24.84 -0.23364
25.2 -0.236873
25.56 -0.240035
25.92 -0.243199
26.28 -0.246364
26.64 -0.249493
27 -0.252543
27.36 -0.255441
27.72 -0.258518
28.08 -0.261682
28.44 -0.264855
28.8 -0.268037
29.16 -0.271094
29.52 -0.274107
29.88 -0.277146
30.24 -0.280212
30.6 -0.283261
30.96 -0.286215
31.32 -0.288902
31.68 -0.291876
32.04 -0.294853
32.4 -0.297824
32.76 -0.30079
33.12 -0.30375
33.48 -0.306705
33.84 -0.309654
34.2 -0.312598
34.56 -0.315536
34.92 -0.318348
35.28 -0.321116
35.64 -0.323911
36 -0.326729
36.36 -0.329572
36.72 -0.332438
37.08 -0.335326
37.44 -0.338236
37.8 -0.340909
38.16 -0.343578
38.52 -0.346326
38.88 -0.34908
39.24 -0.351841
39.6 -0.354608
39.96 -0.357381
40.32 -0.36016
40.68 -0.362672
41.04 -0.365149
41.4 -0.367749
41.76 -0.37036
42.12 -0.37298
42.48 -0.375609
42.84 -0.378246
43.2 -0.38089
43.56 -0.383476
43.92 -0.38585
44.28 -0.388319
44.64 -0.390783
45 -0.39324
45.36 -0.395689
45.72 -0.39813
46.08 -0.400562
46.44 -0.402985
46.8 -0.405373
47.16 -0.407799
47.52 -0.410272
47.88 -0.412793
48.24 -0.415362
48.6 -0.417644
48.96 -0.419749
49.32 -0.421893
49.68 -0.424076
50.04 -0.426299
50.4 -0.428561
50.76 -0.430864
51.12 -0.433167
51.48 -0.435223
51.84 -0.437253
52.2 -0.43932
52.56 -0.441396
52.92 -0.443481
53.28 -0.445575
53.64 -0.447676
54 -0.449786
54.36 -0.451904
54.72 -0.454029
55.08 -0.456163
55.44 -0.458304
55.8 -0.460339
56.16 -0.462139
56.52 -0.46396
56.88 -0.465802
57.24 -0.467663
57.6 -0.469542
57.96 -0.471438
58.32 -0.473352
58.68 -0.475281
59.04 -0.477197
59.4 -0.478798
59.76 -0.480413
60.12 -0.482162
60.48 -0.483955
