B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.475531 360.000000 0.475519
__settings__ 1 0 0 0 11 11 0 0 0 0
0 0.000316212
0.36 -0.0131847
0.72 -0.0268958
1.08 -0.0405263
1.44 -0.0527304
1.8 -0.06587
2.16 -0.0791917
2.52 -0.0923752
2.88 -0.103904
3.24 -0.115619
3.6 -0.127841
3.96 -0.139882
4.32 -0.150646
4.68 -0.160895
5.04 -0.171536
5.4 -0.181984
5.76 -0.192073
6.12 -0.201424
6.48 -0.210506
6.84 -0.219409
7.2 -0.228042
7.56 -0.236077
7.92 -0.243938
8.28 -0.251582
8.64 -0.25901
9 -0.266063
9.36 -0.272815
9.72 -0.279443
10.08 -0.28595
10.44 -0.292087
10.8 -0.297775
11.16 -0.303383
11.52 -0.308912
11.88 -0.31436
12.24 -0.319728
12.6 -0.324904
12.96 -0.329407
13.32 -0.3338
13.68 -0.338129
14.04 -0.342393
14.4 -0.346592
14.76 -0.350764
15.12 -0.354387
15.48 -0.358096
15.84 -0.361799
16.2 -0.365476
16.56 -0.368805
16.92 -0.371895
17.28 -0.37499
17.64 -0.378094
18 -0.381077
18.36 -0.383865
18.72 -0.386614
19.08 -0.389319
19.44 -0.391905
19.8 -0.394372
20.16 -0.396804
20.52 -0.399201
20.88 -0.401562
21.24 -0.40378
21.6 -0.405896
21.96 -0.407941
22.32 -0.40997
22.68 -0.411982
23.04 -0.413846
23.4 -0.41568
23.76 -0.417439
24.12 -0.41915
24.48 -0.420858
24.84 -0.422479
25.2 -0.424033
25.56 -0.425583
25.92 -0.427023
26.28 -0.428466
26.64 -0.429873
27 -0.431202
27.36 -0.432537
27.72 -0.433789
28.08 -0.435008
28.44 -0.436234
28.8 -0.437391
29.16 -0.438539
29.52 -0.439608
29.88 -0.440595
30.24 -0.441592
30.6 -0.442643
30.96 -0.443767
31.32 -0.444628
31.68 -0.445487
32.04 -0.446344
32.4 -0.447199
32.76 -0.448095
33.12 -0.448908
33.48 -0.449659
33.84 -0.450408
34.2 -0.451155
34.56 -0.4519
34.92 -0.452583
35.28 -0.453218
35.64 -0.453854
36 -0.454492
36.36 -0.455131
36.72 -0.455772
37.08 -0.456413
37.44 -0.457047
37.8 -0.457584
38.16 -0.458057
38.52 -0.45854
38.88 -0.459033
39.24 -0.459536
39.6 -0.460048
39.96 -0.460571
40.32 -0.461094
40.68 -0.461529
41.04 -0.461886
41.4 -0.462246
41.76 -0.462617
42.12 -0.463
42.48 -0.463393
42.84 -0.463798
43.2 -0.464214
43.56 -0.464571
43.92 -0.46485
44.28 -0.465131
44.64 -0.46542
45 -0.465719
45.36 -0.466026
45.72 -0.466342
46.08 -0.466667
46.44 -0.466951
46.8 -0.467182
47.16 -0.467423
47.52 -0.467674
47.88 -0.467934
48.24 -0.468204
48.6 -0.468444
48.96 -0.46864
49.32 -0.468845
49.68 -0.469059
50.04 -0.469282
50.4 -0.469512
50.76 -0.469723
51.12 -0.469842
51.48 -0.469976
51.84 -0.470127
52.2 -0.470294
52.56 -0.470476
52.92 -0.470674
53.28 -0.470887
53.64 -0.471114
54 -0.471233
54.36 -0.471306
54.72 -0.471401
55.08 -0.471519
55.44 -0.47166
55.8 -0.471803
56.16 -0.471943
56.52 -0.472081
56.88 -0.472215
57.24 -0.472317
57.6 -0.472382
57.96 -0.472485
58.32 -0.472612
58.68 -0.472764
59.04 -0.47294
59.4 -0.47298
59.76 -0.47301
60.12 -0.473049
60.48 -0.473105
60.84 -0.473177
61.2 -0.473266
61.56 -0.473371
61.92 -0.473492
62.28 -0.47363
62.64 -0.47375
63 -0.473809
63.36 -0.473883
63.72 -0.473897
64.08 -0.473895
64.44 -0.47391
64.8 -0.473941
65.16 -0.473989
65.52 -0.474054
65.88 -0.474136
66.24 -0.474235
66.6 -0.474341
66.96 -0.474439
67.32 -0.474409
67.68 -0.474405
68.04 -0.474424
68.4 -0.474469
68.76 -0.47455
69.12 -0.474594
69.48 -0.474612
69.84 -0.474633
70.2 -0.474658
70.56 -0.474686
70.92 -0.474713
71.28 -0.474737
71.64 -0.47477
72 -0.474812
72.36 -0.474863
72.72 -0.474922
73.08 -0.474917
73.44 -0.474934
73.8 -0.474966
74.16 -0.475013
74.52 -0.475076
74.88 -0.475154
75.24 -0.475137
75.6 -0.475069
75.96 -0.47502
76.32 -0.474989
76.68 -0.474977
77.04 -0.474984
77.4 -0.47501
77.76 -0.475055
78.12 -0.475119
78.48 -0.475202
78.84 -0.475305
79.2 -0.475428
79.56 -0.475384
79.92 -0.475305
80.28 -0.475249
80.64 -0.475216
81 -0.475205
81.36 -0.475217
81.72 -0.475251
82.08 -0.475308
82.44 -0.475387
82.8 -0.475474
83.16 -0.47548
83.52 -0.475417
83.88 -0.475368
84.24 -0.475338
84.6 -0.475327
84.96 -0.475334
85.32 -0.475359
85.68 -0.475401
86.04 -0.475462
86.4 -0.47553
86.76 -0.47552
87.12 -0.475524
87.48 -0.475485
87.84 -0.475433
88.2 -0.475398
88.56 -0.475379
88.92 -0.475376
89.28 -0.47539
89.64 -0.47542
90 -0.475468
90.36 -0.475518
90.72 -0.475531
91.08 -0.475467
91.44 -0.475426
91.8 -0.475408
92.16 -0.475414
92.52 -0.475457
